wallet,approval_like_count,rapid_outflow_count,multi_victim_pattern,new_contract_interaction_count,swap_then_transfer_pattern,percent_to_same_cluster
4yWDmvn7TUVQuZvZRYcEcQuFijEWZ73FpnrtRnFb66aC,0,0,0,0,0,0.0
6VL8hRjKRbEvqResPkiWuLMcoW6RRiNfv1b5H9fMqcb1,0,0,0,0,0,0.0
BKVM59wJYMXnZfTkacKjnqNwChLFmbTcdFBsEc6UKUxx,0,0,0,0,0,0.0
Bjeida13AjgPaUEU9xrh1iQMwxZC7QDdvSfg73oxQff7,0,0,0,0,0,0.0
34n9HPLvEV3jjC9tCe9sYiAfpybD7iUuHvRxKJJroJ4u,0,0,0,0,0,0.0
4jkL4dNkY2UbpYrTgLA3u5FqKwKs1LM46RcE6FQU3qXi,0,0,0,0,0,0.0
3h6Qu9Vo1sDL25ajmidJnHEV4KeFnDuT9VCtAyhVWyMs,0,0,0,0,0,0.0
9hXa2JEguhjX2ixNHrjnyhcoFduarSRazf8kEeKpLAEE,0,0,0,0,0,0.0
33WqHwGJGTwbx2cScvKM1pnzXvRHeJnfBKQpqmPbsWCN,0,0,0,0,0,0.0
